Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2026-02-19,Gulmarg,,,India,Max Temp,High,11.4,11.4,1993-02-11,Month,1922-01-01,2652,42026
2026-02-18,Golaghat,,,India,Min Temp,High,18,17,2026-02-17,Month,1969-01-01,95,42420
2026-02-18,Lumding,,,India,Max Temp,High,34,33.8,1952-02-24,Month,1951-01-01,149,42523
2026-02-17,Golaghat,,,India,Min Temp,High,17,16,2026-02-04,Month,1969-01-01,95,42420
2026-02-04,Golaghat,,,India,Min Temp,High,16,14,2025-02-15,Month,1969-01-01,95,42420
2026-01-31,Gandhinagar,,,India,Min Temp,High,18.2,18.2,2015-01-22,Month,1974-01-01,81,42654
2026-01-30,Alibag,,,India,Min Temp,High,25.3,24.2,2026-01-27,Month,1969-01-01,7,43058
2026-01-28,Gwalior,,,India,Rain,24hrs,63.6,52.6,1926-01-08,Month,1891-01-01,207,42361
2026-01-27,Alibag,,,India,Min Temp,High,24.2,23.6,2007-01-30,Month,1969-01-01,7,43058
2026-01-23,Chittorgarh,,,India,Min Temp,High,16.4,16.2,2014-01-22,Month,1973-01-01,404,42546
2026-01-23,Kota,,,India,Min Temp,High,19.4,19,1996-01-15,Month,1969-01-01,273,42452
2026-01-12,Silchar,,,India,Max Temp,High,31.4,30.7,2017-01-26,Month,1900-01-01,20,42619
2026-01-10,Jharsuguda,,,India,Min Temp,Low,4.5,4.6,2026-01-09,Month,1953-01-01,230,42886
2026-01-10,Jharsuguda,,,India,Min Temp,Low,4.5,4.6,2026-01-09,Year,1953-01-01,230,42886
2026-01-09,Jharsuguda,,,India,Min Temp,Low,4.6,5.1,2026-01-06,Month,1953-01-01,230,42886
2026-01-09,Jharsuguda,,,India,Min Temp,Low,4.6,5.1,2026-01-06,Year,1953-01-01,230,42886
2026-01-08,Gwalior,,,India,Max Temp,Low,10.4,11.6,2024-01-20,Month,1969-01-01,207,42361
2026-01-08,Gwalior,,,India,Max Temp,Low,10.4,11.6,2024-01-20,Year,1969-01-01,207,42361
2026-01-06,Jharsuguda,,,India,Min Temp,Low,5.1,5.6,2023-01-07,Month,1953-01-01,230,42886
2026-01-06,Jharsuguda,,,India,Min Temp,Low,5.1,5.6,2021-12-20,Year,1953-01-01,230,42886
2026-01-04,Shimla (city),,,India,Max Temp,High,23.1,22,2026-01-03,Month,1901-01-01,2270,42083
2026-01-04,Shimla AP,,,India,Max Temp,High,25.4,24.4,2026-01-03,Month,2009-01-01,1546,42084
2026-01-03,Shimla (city),,,India,Max Temp,High,22,21.4,2006-01-31,Month,1901-01-01,2270,42083
2026-01-03,Shimla AP,,,India,Max Temp,High,24.4,22.7,2023-01-08,Month,2009-01-01,1546,42084
2026-01-02,Coonoor PTO,,,India,Rain,24hrs,261,196.6,1943-01-04,Month,1936-01-01,1747,43318
