Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2025-10-28,Bhilwara,,,India,Rain,24hrs,88,47.6,1970-10-01,Month,1962-01-01,421,42447
2025-10-28,Chennai (N),,,India,Max Temp,Low,24.6,29,,Month,1969-01-01,6,43278
2025-10-28,Chittorgarh,,,India,Max Temp,Low,20.3,21.9,1985-10-09,Month,1973-01-01,404,42546
2025-10-28,Chittorgarh,,,India,Rain,24hrs,68,57.2,1974-10-11,Month,1973-01-01,404,42546
2025-10-28,Guna,,,India,Max Temp,Low,21.4,23.3,1985-10-13,Month,1969-01-01,478,42559
2025-10-28,Gwalior,,,India,Max Temp,Low,19.5,21.2,1971-10-18,Month,1969-01-01,207,42361
2025-10-28,Kailashahar,,,India,Max Temp,High,36,15,,Month,1958-01-01,29,42618
2025-10-28,Kanyakumari,,,India,Min Temp,Low,19.9,20,2025-10-24,Month,1961-01-01,37,43377
2025-10-28,Kochi (CIAL),,,India,Max Temp,Low,25.5,25.6,2007-10-30,Month,2004-01-01,9,43336
2025-10-28,Kota,,,India,Max Temp,Low,20.7,21.9,2025-10-27,Month,1969-01-01,273,42452
2025-10-28,Rajkot,,,India,Max Temp,Low,25,25.8,1975-10-07,Month,1969-01-01,138,42737
2025-10-28,Udaipur AP,,,India,Max Temp,Low,20.2,23.4,2025-10-27,Month,1969-01-01,509,42542
2025-10-27,Bhilwara,,,India,Max Temp,Low,21.1,22.3,2003-09-01,Month,1969-01-01,421,42447
2025-10-27,Diu,,,India,Max Temp,Low,25.4,25.5,2025-10-25,Month,1969-01-01,10,42914
2025-10-27,Gandhinagar,,,India,Max Temp,Low,24.8,25.8,1975-10-24,Month,1974-01-01,81,42654
2025-10-27,Kota,,,India,Max Temp,Low,21.9,9,,Month,1969-01-01,273,42452
2025-10-27,Mahuva,,,India,Max Temp,Low,26.8,27,1983-10-09,Month,1969-01-01,9,42837
2025-10-27,Tikamgarh,,,India,Max Temp,Low,23,23.2,1971-10-18,Month,1969-01-01,330,42562
2025-10-27,Udaipur AP,,,India,Max Temp,Low,21.8,23.4,1985-10-09,Month,1969-01-01,509,42542
2025-10-26,Dhar,,,India,Max Temp,Low,23.2,24.8,1999-10-09,Month,1974-01-01,583,42752
2025-10-25,Diu,,,India,Max Temp,Low,25.5,26,1985-10-07,Month,1969-01-01,10,42914
2025-10-24,Kanyakumari,,,India,Min Temp,Low,20,20.2,2007-10-23,Month,1961-01-01,37,43377
2025-10-15,Golaghat,,,India,Min Temp,High,28,27,2025-10-14,Month,1969-01-01,95,42420
2025-10-14,Golaghat,,,India,Min Temp,High,27,26,2025-10-13,Month,1969-01-01,95,42420
2025-10-13,Golaghat,,,India,Min Temp,High,26,25,2025-10-12,Month,1969-01-01,95,42420
2025-10-12,Golaghat,,,India,Min Temp,High,25,24,2024-10-30,Month,1969-01-01,95,42420
2025-10-12,Kochi (CIAL),,,India,Max Temp,High,35.5,35.4,2006-10-18,Month,2004-01-01,9,43336
2025-10-11,Erode,,,India,Min Temp,High,26,25.5,2021-10-16,Month,1997-01-01,173,43338
2025-10-09,Basti,,,India,Max Temp,High,38,37.3,1995-10-16,Month,1986-01-01,89,42279
2025-10-08,Solan (Nauni),,,India,Rain,24hrs,119.6,85,1985-10-10,Month,1951-01-01,1256,42106
2025-10-07,Kangra AP,,,India,Max Temp,Low,17,18.2,2025-10-06,Month,2012-01-01,771,42076
2025-10-07,Ludhiana,,,India,Max Temp,Low,21.2,24.9,2023-10-17,Month,1969-01-01,255,42099
2025-10-07,Mandi,,,India,Max Temp,Low,16.8,18.2,2025-10-06,Month,1969-01-01,760,42078
2025-10-07,Nahan,,,India,Max Temp,Low,20,21.1,2006-10-21,Month,1977-01-01,958,42104
2025-10-07,Sundernagar,,,India,Max Temp,Low,16.9,17.6,1997-10-30,Month,1982-01-01,874,42079
2025-10-06,Kangra AP,,,India,Max Temp,Low,18.2,21.4,2023-10-17,Month,2012-01-01,771,42076
2025-10-06,Mandi,,,India,Max Temp,Low,18.2,18.8,2023-10-17,Month,1969-01-01,760,42078
2025-10-06,Raisen,,,India,Rain,24hrs,93.2,77,1999-10-12,Month,1970-01-01,440,42672
2025-10-05,Forbesganj,,,India,Rain,24hrs,209.6,176.8,2022-10-10,Month,1953-01-01,61,42395
2025-10-05,Supaul,,,India,Rain,24hrs,156.7,123.8,1978-10-06,Month,1967-01-01,50,42393
2025-10-04,Varanasi (BHU),,,India,Rain,24hrs,187,138.9,1900-10-09,Month,1889-01-01,88,42483
2025-10-02,Palayamkottai,,,India,Max Temp,High,39.5,10,,Month,1951-01-01,51,43376
2025-10-01,Patna,,,India,Min Temp,High,27.9,27.7,2006-10-04,Month,1969-01-01,57,42492
2025-09-30,Beed,,,India,Min Temp,Low,14.7,15.7,1972-09-25,Month,1960-01-01,519,43011
2025-09-27,Bijapur,,,India,Max Temp,Low,23,20,,Month,1969-01-01,598,43161
2025-09-27,Jeur,,,India,Rain,24hrs,105,22,,Month,1951-01-01,521,43071
2025-09-27,Kolhapur,,,India,Max Temp,Low,22,22.1,1969-09-07,Month,1969-01-01,570,43157
2025-09-27,Sangli,,,India,Max Temp,Low,22,22.7,2004-09-11,Month,1969-01-01,549,43158
2025-09-27,Supaul,,,India,Min Temp,High,30.9,30.1,2020-09-04,Month,1969-01-01,50,42393
2025-09-22,Jeur,,,India,Rain,24hrs,105,104.8,1991-09-18,Month,1951-01-01,521,43071
2025-09-21,Durg,,,India,Min Temp,Low,18.6,16,,Month,1970-01-01,293,42876
2025-09-16,Durg,,,India,Min Temp,Low,18.6,19.2,2025-09-12,Month,1970-01-01,293,42876
2025-09-12,Durg,,,India,Min Temp,Low,19.2,19.6,2025-09-03,Month,1970-01-01,293,42876
2025-09-12,Medak,,,India,Rain,24hrs,196,192.2,2005-09-21,Year,1979-01-01,472,43083
2025-09-11,Digha,,,India,Max Temp,High,37.3,37.2,2024-09-20,Month,1982-01-01,6,42901
2025-09-11,Karur Paramathi,,,India,Min Temp,Low,19,19.8,1996-09-29,Month,1977-01-01,182,43342
2025-09-06,Bapatla,,,India,Max Temp,High,38.8,38.7,2004-09-02,Month,1978-01-01,6,43220
2025-09-03,Durg,,,India,Min Temp,Low,19.6,20.3,2011-09-07,Month,1970-01-01,293,42876
2025-09-03,Golaghat,,,India,Min Temp,High,30,29,2025-09-01,Month,1969-01-01,95,42420
2025-09-03,Jammu,,,India,Max Temp,Low,21.6,22.4,1988-09-26,Month,1969-01-01,367,42056
2025-09-02,Patna,,,India,Min Temp,High,30.1,29.6,2024-09-01,Month,1969-01-01,57,42492
2025-09-01,Golaghat,,,India,Min Temp,High,29,28,2024-09-18,Month,1969-01-01,95,42420
